iter	Logloss
0	0.6452675301
1	0.6070299353
2	0.5754090568
3	0.5535011755
4	0.5349242526
5	0.5199617698
6	0.5072533547
7	0.495311815
8	0.4856030267
9	0.476570961
10	0.4671661244
11	0.4617137433
12	0.4551652351
13	0.4497526
14	0.4447594028
15	0.4406253405
16	0.4375901322
17	0.4335197595
18	0.4289870143
19	0.4259521958
20	0.4226975873
21	0.4203792217
22	0.4168985834
23	0.4135997319
24	0.4099542914
25	0.4057271035
26	0.4018915195
27	0.4010624371
28	0.3987823714
29	0.3956291158
30	0.392196435
31	0.3909342115
32	0.3887652509
33	0.3856085023
34	0.3821062826
35	0.3794806738
36	0.3764029194
37	0.3740075249
38	0.3704298845
39	0.36826214
40	0.3665280694
41	0.3652723775
42	0.3615315337
43	0.3603116202
44	0.3568341804
45	0.3537640824
46	0.3521019881
47	0.3485286058
48	0.3471395346
49	0.3447469662
50	0.3416748534
51	0.3395201528
52	0.3362461098
53	0.3334937423
54	0.3324567212
55	0.3311957968
56	0.3298558969
57	0.3279869866
58	0.3269103981
59	0.325499689
60	0.3246817048
61	0.3230050198
62	0.3206097305
63	0.3167115268
64	0.3155552238
65	0.3145720085
66	0.3143709084
67	0.3131895732
68	0.3102533392
69	0.3082731953
70	0.3074298117
71	0.3065885667
72	0.3057174446
73	0.3051619853
74	0.3049722972
75	0.3032889586
76	0.3021405078
77	0.3012970937
78	0.300113586
79	0.2993112267
80	0.2980535556
81	0.2973620956
82	0.2949004709
83	0.2928651566
84	0.2915255151
85	0.2914235845
86	0.2880276245
87	0.2859293729
88	0.2858386467
89	0.2840978763
90	0.2824446382
91	0.2803432673
92	0.2775889983
93	0.2762450982
94	0.2747727564
95	0.2741647316
96	0.2727376975
97	0.2710503998
98	0.2688814232
99	0.267383727
